Currency Code,Currency Name, Excchange Chain, Final Amount in Currency
Hong Kong Dollar,HKD,CAD | USD | CNY | HKD,"628,7816571531012"
USA Dollar,USD,CAD | USD,"79,58236054966888"
Brazil Real,BRL,CAD | BRL,"414,06912542467876"
Euro,EUR,CAD | EUR,"67,48292116624661"
Philippines Peso,PHP,CAD | USD | CNY | HKD | PHP,"4043,176013242184"
India Rupee,INR,CAD | USD | CNY | HKD | INR,"5999,357215162989"
Vietnam Dong,VND,CAD | USD | CNY | HKD | VND,"1856553,9957862087"
South Korea Won,KRW,CAD | USD | CNY | HKD | PHP | KRW,"95710,07374282049"
Singapore Dollar,SGD,CAD | USD | CNY | HKD | PHP | KRW | SGD,"106,08038259293538"
Thailand Baht,THB,CAD | USD | CNY | HKD | PHP | KRW | SGD | THB,"2598,497631710325"
Japan Yen,JPY,CAD | USD | JPY,"8831,647519740842"
Mexico Peso,MXN,CAD | USD | MXN,"1585,543146896012"
Saudi Arabia Riyal,SAR,CAD | USD | SAR,"301,02790122240975"
Uruguay Peso,UYU,CAD | USD | SAR | UYU,"3437,112119444381"
Liberia Dollar,LRD,CAD | USD | SAR | LRD,"13846,38725428806"
Sudan Pound,SDG,CAD | USD | SAR | SDG,"35542,099508872256"
Algeria Dinar,DZD,CAD | USD | SAR | LRD | DZD,"11174,0507245489"
Great Britain Pound,GBP,CAD | EUR | GBP,"57,59073733970901"
Lebanon Pound,LBP,CAD | EUR | GBP | LBP,"121956,79018759617"
Norway Kroner,NOK,CAD | EUR | GBP | NOK,"690,9928751783389"
Sweden Krona,SEK,CAD | EUR | GBP | NOK | SEK,"692,7110828445158"
Turkish New Lira,TRY,CAD | EUR | GBP | NOK | SEK | TRY,"682,2457154812478"
Switzerland Franc,CHF,CAD | EUR | GBP | NOK | SEK | CHF,"76,31234582748239"
Trinidad/Tobago Dollar,TTD,CAD | BRL | TTD,"540,8978178327188"
Tunisia Dinar,TND,CAD | USD | SAR | UYU | TND,"225,41076808015825"
Argentina Peso,ARS,CAD | BRL | ARS,"7840,884660721713"
New Zealand Dollar,NZD,CAD | EUR | NZD,"112,52525640053337"
Australia Dollar,AUD,CAD | EUR | AUD,"108,92171268197205"
Belize Dollar,BZD,CAD | EUR | BZD,"161,98815256252107"
China Yuan/Renminbi,CNY,CAD | USD | CNY,"518,3947881030443"
Bitcoin,BTC,CAD | BTC,"0,0018156244869081347"
Ethereum,ETH,CAD | BTC | ETH,"0,025704139171999082"
Banano,BAN,CAD | BTC | BAN,"9004,482506632876"
Nano,NANO,CAD | BTC | NANO,"15,383846335955484"
Cardano,ADA,CAD | BTC | NANO | ADA,"37,20341268045051"
Dogecoin,DOGE,CAD | BTC | NANO | DOGE,"369,25760825325636"
Litecoin,LTC,CAD | BTC | NANO | ADA | LTC,"0,4962307746985496"
Algorand,ALGO,CAD | BTC | NANO | ADA | ALGO,"43,246296467465626"
BitcoinCash,BCH,CAD | BTC | NANO | ADA | ALGO | BCH,"0,16582686662001453"
